state,hours
HI,30
HI,38
HI,25
HI,4
HI,60
HI,40
HI,40
HI,40
HI,40
HI,40
HI,35
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,25
HI,37
HI,40
HI,40
HI,36
HI,40
HI,60
HI,40
HI,20
HI,40
HI,40
HI,37
HI,20
HI,40
HI,40
HI,40
HI,40
HI,40
HI,32
HI,38
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,25
HI,40
HI,40
HI,15
HI,40
HI,40
HI,40
HI,40
HI,35
HI,40
HI,4
HI,40
HI,40
HI,40
NV,30
NV,40
NV,40
NV,40
NV,40
NV,38
NV,40
NV,3
NV,40
NV,50
NV,40
NV,40
NV,30
NV,40
NV,40
NV,40
NV,40
NV,16
NV,40
NV,40
NV,40
NV,40
NV,28
NV,40
NV,80
NV,40
NV,40
NV,45
NV,40
NV,40
NV,40
NV,40
NV,40
NV,50
NV,40
NV,40
NV,50
NV,30
NV,40
NV,40
NV,20
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,32
NV,40
NV,40
AK,60
AK,40
AK,40
AK,40
AK,10
AK,50
AK,40
AK,40
AK,40
AK,40
AK,40
AK,40
AK,20
AK,40
AK,40
AK,45
AK,20
AK,40
AK,45
AK,82
AK,10
AK,10
AK,40
AK,40
AK,37
AK,8
AK,40
AK,40
AK,45
AK,45
AK,45
AK,40
AK,40
AK,40
AK,20
AK,40
AK,40
CA,60
CA,50
CA,40
CA,40
CA,60
CA,40
CA,20
CA,50
CA,40
CA,25
CA,40
CA,40
CA,40
CA,40
CA,32
CA,40
CA,40
CA,40
CA,40
CA,40
CA,38
CA,40
CA,40
CA,46
CA,40
CA,40
CA,45
CA,50
CA,40
CA,45
CA,45
CA,50
CA,40
CA,40
CA,40
CA,40
CA,15
CA,40
CA,40
CA,40
CA,60
CA,45
CA,40
CA,40
CA,60
CA,45
CA,65
CA,40
CA,23
CA,8
CA,40
CA,25
CA,42
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,35
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,40
CA,40
CA,36
CA,40
CA,40
CA,30
CA,40
CA,40
CA,10
CA,30
CA,40
CA,40
CA,45
CA,35
CA,40
CA,40
CA,36
CA,50
CA,40
CA,40
CA,40
CA,15
CA,50
CA,40
CA,40
CA,44
CA,40
CA,40
CA,40
CA,40
CA,60
CA,25
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,36
CA,36
CA,45
CA,40
CA,40
CA,40
CA,40
CA,45
CA,55
CA,40
CA,6
CA,40
CA,40
CA,40
CA,40
CA,60
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,20
CA,45
CA,45
CA,40
CA,40
CA,80
CA,80
CA,40
